Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,2,296-46163-1-ND,OPA381AIDGKR,IC TRANSIMPEDANCE 1 CIRC 8VSSOP,,2,0,2.24,4.48
2,2,475-SFH2704CT-ND,SFH 2704,SENSOR PHOTODIODE 900NM 2SMD,,2,0,0.83,1.66
3,2,475-SFH7018ACT-ND,SFH 7018A,NEW AMS OSRAM RED/ GREEN/ IR LED,,2,0,0.68,1.36
4,4,296-TLV9002IDDFRCT-ND,TLV9002IDDFR,IC OPAMP GP 2 CIRCUIT TSOT23-8,,4,0,0.57,2.28
5,3,DMMT3904W-FDICT-ND,DMMT3904W-7-F,TRANS 2NPN 40V 200MA SOT-363,,3,0,0.38,1.14
6,5,DMMT5401-FDICT-ND,DMMT5401-7-F,TRANS 2PNP 150V 200MA SOT-26,,5,0,0.44,2.2
7,2,296-43808-1-ND,TLV2333IDGKT,IC OPAMP ZERO-DRIFT 2CIRC 8VSSOP,,2,0,2.16,4.32
8,2,296-TPS61023DRLRCT-ND,TPS61023DRLR,IC REG BOOST ADJ 3A SOT563,,2,0,1.08,2.16
9,2,WM1388CT-ND,5034801000,CONN FFC FPC 10POS 0.5MM R/A,,2,0,0.8,1.6
10,7,296-TMUX1133PWRTR-ND,TMUX1133PWR,3 STATE SWITCH,,7,0,2.64,18.48
11,4,MCP6561RT-E/OTTR-ND,,Comparator,,4,0,0.55,2.2
12,40,490-14618-2-ND,GRM1885C1H8R0BA01D,8pF DAC Capacitor,,40,0,0.035,1.4
13,10,13-CC0603BRNPO9BN4R0TR-ND,CC0603BRNPO9BN4R0,4pF DAC Capacitor,,10,0,0.019,0.19
14,10,311-3827-2-ND,CC0603BRNPO9BN2R0,2pF DAC Capacitor,,10,0,0.021,0.21
15,10,712-QSCP251Q1R0A1GV001TTR-ND,QSCP251Q1R0A1GV001T,1pF DAC Capacitor,,10,0,0.08,0.8
16,6,74HC595DTR-ND,74HC595D,Shift Register,,6,0,0.17,1.02
17,1,296-53437-2-ND,TMUX1104DGSR,Input Mux,,1,0,2.51,2.51
18,5,478-KGM15ACG1H102FTTR-ND,KGM15ACG1H102FT,Hold Capacitor,,5,0,0.08,0.4
19,1,296-TLV9101IDCKRCT-ND,TLV9101IDCKR,IC OPAMP GP 1 CIRCUIT SC70-5,,1,0,0.73,
20,1,4044-VSEB0430H-1R0MCCT-ND,VSEB0430H-1R0MC,FIXED IND 1UH 10.7A 10.3 MOHM,,1689,0,1.61,1.61
21,5,490-GRT1885C1E103FA02DTR-ND,GRT1885C1E103FA02D,10nF DAC Capacitor,,1,0,0.22,0.15
22,2,296-22645-2-ND,REF3333AIDBZR,3V3 Reference for Caps,,2,0,1.3,2.6
23,2,AD5621AKSZ-REEL7TR-ND,AD5621AKSZ-REEL7,DAC,,2,0,2.79,5.58
24,2,296-40464-2-ND,OPA320SAIDBVR,High speed op amp,,2,0,2.16,4.32
25,2,ADG701BRJZ-REEL7,ADG701BRJZ-REEL7,Ideal Switch,,2,0,2.13,4.26
26,1,MMSZ5221BT1GOSCT-ND,MMSZ5221BT1G,DIODE ZENER 2.4V 500MW SOD123,,19617,0,0.17,0.17
27,2,296-19340-1-ND,OPA333AIDBVR,IC OPAMP ZERO-DRIFT 1 CIRC SOT23-5,,2000,0,,
28,3,MMBT3904-FDICT-ND,MMBT3904-7-F,TRANS NPN 40V 0.2A SOT23-3,,50000,0,1.38,1.38
29,3,BSS84-FDICT-ND,BSS84-7-F,MOSFET P-CH 50V 130MA SOT23-3,,259335,0,0.11,0.55
30,3,2N7002-FDICT-ND,2N7002-7-F,MOSFET N-CH 60V 115MA SOT23-3,,50000,0,0.12,0.6
31,2,541-VSMD66694CT-ND,VSMD66694,EMITTER DUAL RED/IR 2SMD,,1500,0,0.1,0.5
32,10,311-65.0HRCT-ND,RC0603FR-0760R4L,RES 60.4 OHM 1% 1/10W 0603,,44003,0,1.4,1.4
33,10,311-1.0KGRCT-ND,RC0603JR-071KL,RES 1K OHM 5% 1/10W 0603,,100000,0,0.1,1
34,10,311-10KGRCT-ND,RC0603JR-0710KL,RES 10K OHM 5% 1/10W 0603,,100000,0,0.02,0.2
35,,,,,,,,0.02,0.2
